Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-03-18 11:07:35.432878,ITC,SELL,303.95,306.25,10,-43.000000000000114,SL HIT
2026-03-18 11:39:58.773863,JINDALSTEL,SELL,1146.4,1158.3,10,-138.99999999999864,SL HIT
2026-03-18 12:01:59.956574,BDL,BUY,1316.9,1306.4,10,-119.00000000000091,SL HIT
2026-03-18 12:15:14.911918,LUPIN,BUY,2320.9,2303.4,1,-37.40000000000009,SL HIT
2026-03-18 12:27:15.010842,ABB,BUY,6385.0,6335.5,10,-500.0,SL HIT
2026-03-18 12:35:47.182605,CHOLAFIN,SELL,1513.1,1524.4,1,-31.300000000000182,SL HIT
2026-03-18 12:36:23.167407,DABUR,SELL,451.15,454.65,1,-23.400000000000034,SL HIT
2026-03-18 12:45:41.466567,MCX,BUY,2699.7,2679.0,1,-40.19999999999982,SL HIT
2026-03-18 12:48:04.425065,SUNPHARMA,BUY,1805.0,1791.4,10,-155.0,SL HIT
2026-03-18 12:57:22.480546,CUMMINSIND,BUY,4663.0,4733.4,1,49.899999999999636,TARGET HIT
2026-03-18 13:07:22.673002,BSE,BUY,3001.4,2978.5,1,-42.5,SL HIT
2026-03-18 13:10:00.940085,ICICIGI,SELL,1809.0,1823.0,10,-155.9999999999991,SL HIT
2026-03-18 13:30:02.263149,OIL,SELL,471.0,471.0,10,-19.10000000000025,SL HIT
2026-03-18 14:38:25.014722,JSWENERGY,BUY,512.95,509.1,1,-23.850000000000023,SL HIT
